Taxon,n
Tellervo_zoilus,32
Amauris_tartarea,40
Parantica_agleoides,33
Parantica_melusine,22
Danaus_genutia,30
Danaus_cleophile,30
Danaus_plexippus,28
Danaus_erippus,30
Danaus_chrysippus,30
Danaus_eresimus,30
Danaus_gilippus,29
Tirumala_hamata,36
Tirumala_septentrionis,32
Euploea_corinna,30
Euploea_mulciber,30
Idea_leuconoe,30
Anetia_briarea,31
Anetia_pantheratus,31
Lycorea_ilione,30
Libythea_celtis,31

